,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative,Number of Consummated Adoptions,Number of Kids in Substitute Care,Percent of Kids in Consummated Adoptions
24,2010,10-El Paso,Male,African American,Birth to Five Years Old,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,16,16.0,8.0,10.0,3.0,3.0,4.0,2.0,0.0,6.0,0.0
25,2010,10-El Paso,Male,Anglo,Six to Twelve Years Old,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,45,22.5,12.0,14.0,6.0,1.0,6.0,1.0,0.0,7.0,0.0
26,2010,10-El Paso,Male,Hispanic,Birth to Five Years Old,5.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,13,13,102,7.846153846153847,10.0,10.0,12.0,5.0,12.0,5.0,15.0,17.0,46.875
27,2010,10-El Paso,Male,Hispanic,Six to Twelve Years Old,4.0,13.0,0.0,6.0,2.0,0.0,0.0,0.0,14,18,407,22.61111111111111,14.0,14.0,11.0,11.0,15.0,7.0,17.0,22.0,43.58974358974359
28,2010,10-El Paso,Male,Hispanic,Thirteen to Seventeen Years Old,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3,19,1153,60.68421052631579,8.0,10.0,18.0,4.0,20.0,2.0,0.0,22.0,0.0
29,2010,11-Edinburg,Female,African American,Birth to Five Years Old,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2,11,5.5,6.0,10.0,4.0,4.0,5.0,3.0,3.0,8.0,27.27272727272727
30,2010,11-Edinburg,Female,Anglo,Birth to Five Years Old,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4,9,42,4.666666666666667,10.0,10.0,17.0,4.0,17.0,4.0,3.0,21.0,12.5
31,2010,11-Edinburg,Female,Anglo,Six to Twelve Years Old,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4,1,10,10.0,12.0,14.0,12.0,7.0,13.0,6.0,0.0,19.0,0.0
32,2010,11-Edinburg,Female,Anglo,Thirteen to Seventeen Years Old,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,6,281,46.83333333333334,10.0,10.0,9.0,3.0,10.0,2.0,0.0,12.0,0.0
33,2010,11-Edinburg,Female,Hispanic,Birth to Five Years Old,20.0,29.0,11.0,1.0,1.0,1.0,0.0,0.0,47,40,380,9.5,10.0,10.0,87.0,47.0,91.0,43.0,49.0,134.0,26.775956284153008
34,2010,11-Edinburg,Female,Hispanic,Six to Twelve Years Old,12.0,16.0,1.0,3.0,6.0,1.0,0.0,1.0,29,48,1023,21.3125,14.0,14.0,88.0,51.0,96.0,43.0,28.0,139.0,16.766467065868262
